id;code;name;user_type_id:id;chart_template_id:id;reconcile
account_receivable;52001;Account Receivable;account.data_account_type_receivable;account_arabic_coa_general;TRUE
account_receivable_pos;52002;Account Receivable (PoS);account.data_account_type_receivable;account_arabic_coa_general;TRUE
account_payable;60001;Account Payable;account.data_account_type_payable;account_arabic_coa_general;TRUE
base_miscexpense;79000;Miscellaneous Expense;account.data_account_type_expenses;account_arabic_coa_general;FALSE
base_miscincome;89000;Miscellaneous Income;account.data_account_type_revenue;account_arabic_coa_general;FALSE
AA1;11;ÇáãæÌæÏÇÊ ÇáËÇÈäÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA2;11001;ÇáÇÑÇÖì ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA3;11001001;ÇÑÖ 1;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA4;11002;ÇáãÈÇäí ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA5;11002001;ãÈäì 1;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA6;11003;ÃÌåÒÉ ÍÇÓÈ Çáì ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA7;11003001;ÌåÇÒ ÑŞã 1;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA8;11004;ÓíÇÑÇÊ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA9;11004001;ÓíÇÑÇÊ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA10;11005;áæÍÇÊ ÅÚáÇäíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA11;11005001;áæÍÇÊ ÅÚáÇäíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA12;11006;ÇËÇË æãİÑæÔÇÊ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA13;11006001;ÇËÇË æãİÑæÔÇÊ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA14;11007;ÃÌåÒÉ ßåÑÈÇÆíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA15;11007001;ÃÌåÒÉ ßåÑÈÇÆíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA16;11008;ãßíİÇÊ İÑíæä ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA17;11008001;ãßíİÇÊ İÑíæä ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA18;11009;ãßíİÇÊ ÕÍÑÇæíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA19;11009001;ãßíİÇÊ ÕÍÑÇæíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA20;11010;ãßíİÇÊ ãÑßÒíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA21;11010001;ãßíİÇÊ ãÑßÒíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA22;11011;ÇËÇÊ æäÌåíÒÇÊ ãßÊÈíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
AA23;11011001;ÇËÇÊ æäÌåíÒÇÊ ãßÊÈíÉ ;account.data_account_type_revenue_fixed_assets;account_arabic_coa_general;FALSE
